orderDate,totalAmount
2025-07-13,1513800.00
2025-07-14,1497600.00
2025-07-15,1504200.00
2025-07-16,1510900.00
2025-07-17,1498300.00
2025-07-18,1507600.00
2025-07-19,1514400.00
2025-07-20,1499800.00
2025-07-21,1505500.00
2025-07-22,1512000.00
2025-07-23,1496900.00
2025-07-24,1508700.00
2025-07-25,1515300.00
2025-07-26,1499100.00
2025-07-27,1504800.00
2025-07-28,1511000.00
2025-07-29,1497700.00
2025-07-30,1509300.00
2025-07-31,1514600.00
2025-08-01,1415200.00
2025-08-02,1431200.00
2025-08-03,1409800.00
2025-08-04,1427300.00
2025-08-05,1412500.00
2025-08-06,1438900.00
2025-08-07,1406700.00
2025-08-08,1423000.00
2025-08-09,1419900.00
2025-08-10,1434500.00
2025-08-11,1408600.00
2025-08-12,1425800.00
2025-08-13,1413400.00
2025-08-14,1430200.00
2025-08-15,1409900.00
2025-08-16,1426100.00
2025-08-17,1417800.00
2025-08-18,1433000.00
2025-08-19,1407500.00
2025-08-20,1429500.00
2025-08-21,1414100.00
2025-08-22,1431800.00
2025-08-23,1408900.00
2025-08-24,1427600.00
2025-08-25,1416000.00
2025-08-26,1434200.00
2025-08-27,1409300.00
2025-08-28,1428800.00
2025-08-29,1412700.00
2025-08-30,1430500.00
2025-08-31,1418300.00
2025-09-01,1482000.00
2025-09-02,1490000.00
2025-09-03,1503000.00
2025-09-04,1479000.00
2025-09-05,1496000.00
2025-09-06,1488000.00
2025-09-07,1501000.00
2025-09-08,1492000.00
2025-09-09,1485000.00
2025-09-10,1500000.00
2025-09-11,1493000.00
2025-09-12,1489000.00
2025-09-13,1502000.00
2025-09-14,1491000.00
2025-09-15,1487000.00
2025-09-16,1498000.00
2025-09-17,1500000.00
2025-09-18,1489000.00
2025-09-19,1495000.00
2025-09-20,1488000.00
2025-09-21,1501000.00
2025-09-22,1490000.00
2025-09-23,1486000.00
2025-09-24,1497000.00
2025-09-25,1500000.00
2025-09-26,1489000.00
2025-09-27,1493000.00
2025-09-28,1501000.00
2025-09-29,1490000.00
2025-09-30,1487000.00
2025-10-01,1430000.00
2025-10-02,1440000.00
2025-10-03,1440000.00
2025-10-04,1440000.00
2025-10-05,1430000.00
2025-10-06,1440000.00
2025-10-07,1440000.00
2025-10-08,1440000.00
2025-10-09,1430000.00
2025-10-10,1440000.00
2025-10-11,1440000.00
2025-10-12,1440000.00
2025-10-13,1430000.00
2025-10-14,1440000.00
2025-10-15,1440000.00
2025-10-16,1440000.00
2025-10-17,1430000.00
2025-10-18,1440000.00
2025-10-19,1440000.00
2025-10-20,1440000.00
2025-10-21,1430000.00
2025-10-22,1440000.00
2025-10-23,1440000.00
2025-10-24,1440000.00
2025-10-25,1430000.00
2025-10-26,1440000.00
2025-10-27,1440000.00
2025-10-28,1440000.00
2025-10-29,1430000.00
2025-10-30,1440000.00
2025-10-31,1440000.00
2025-11-01,1440000.00
2025-11-02,1440000.00
2025-11-03,1430000.00
2025-11-04,1440000.00
2025-11-05,1440000.00
2025-11-06,1440000.00
2025-11-07,1430000.00
2025-11-08,1440000.00
2025-11-09,1440000.00
2025-11-10,1440000.00
2025-11-11,1430000.00
2025-11-12,1440000.00
2025-11-13,1440000.00
2025-11-14,1440000.00
2025-11-15,1430000.00
2025-11-16,1440000.00
2025-11-17,1440000.00
2025-11-18,1440000.00
2025-11-19,1430000.00
2025-11-20,1440000.00
2025-11-21,1440000.00
2025-11-22,1440000.00
2025-11-23,1430000.00
2025-11-24,1440000.00
2025-11-25,1440000.00
2025-11-26,1440000.00
2025-11-27,1430000.00
2025-11-28,1440000.00
2025-11-29,1440000.00
2025-11-30,1440000.00
2025-12-01,1764450.00
2025-12-02,1756200.00
2025-12-03,1772400.00
2025-12-04,1764150.00
2025-12-05,1759800.00
2025-12-06,1767600.00
2025-12-07,1759350.00
2025-12-08,1764450.00
2025-12-09,1756200.00
2025-12-10,1772400.00
2025-12-11,1764150.00
2025-12-12,1759800.00
2025-12-13,1767600.00
2025-12-14,1759350.00
2025-12-15,1764450.00
2025-12-16,1756200.00
2025-12-17,1772400.00
2025-12-18,1764150.00
2025-12-19,1759800.00
2025-12-20,1767600.00
